  Metric                     Min       Max      Mean
  --------------------  --------  --------  --------
  Coverage                0.9231    0.9231    0.9231
  Complexity              0.2222    0.2222    0.2222
  Diversity               0.0000    0.0000    0.0000
  Surprisal               0.5000    0.5000    0.5000
  Uniqueness              1.0000    1.0000    1.0000
  LLM Quality             0.7500    0.7500    0.7500
  Summary Relevance       0.5000    0.5000    0.5000
  --------------------  --------  --------  --------
  Combined Score          0.5778    0.5778    0.5778
