  Metric                     Min       Max      Mean
  --------------------  --------  --------  --------
  Coverage                0.3333    0.7500    0.5833
  Complexity              0.2000    0.3333    0.2267
  Diversity               0.5753    0.7368    0.6476
  Surprisal               0.2625    0.4709    0.3459
  Uniqueness              1.0000    1.0000    1.0000
  LLM Quality             0.7500    0.7500    0.7500
  LLM Relevance           0.5000    1.0000    0.7500
  LLM Clarity             0.7500    0.7500    0.7500
  --------------------  --------  --------  --------
  Combined Score          0.5550    0.6577    0.6029
